product_name,brand,category,ingredients,skin_type,price,rating
Organized directional analyzer Sunscreen,Mamaearth,serum,"charcoal, glycolic acid, hyaluronic acid",oily,1277.39,1.6
Grass-roots web-enabled capability Face mask,Mamaearth,face wash,"salicylic acid, ceramides, zinc, turmeric, glycolic acid",sensitive,1376.2,1.7
Polarized multi-tasking knowledgebase Eye cream,Lakme,sunscreen,"vitamin C, kojic acid, tea tree oil",dry,802.7,2.7
Re-contextualized executive customer loyalty Serum,Neutrogena,face mask,"vitamin C, rose water, hyaluronic acid, zinc",oily,1151.27,4.3
Inverse holistic synergy Cleanser,Olay,sunscreen,"charcoal, zinc, salicylic acid",normal,1644.85,1.3
Sharable logistical throughput Moisturizer,Aqualogica,sunscreen,"tea tree oil, zinc, ceramides",sensitive,764.54,2.4
Reactive dedicated knowledge user Face wash,Himalaya,moisturizer,"zinc, charcoal, turmeric, niacinamide",combination,751.29,4.1
Visionary fault-tolerant service-desk Serum,Dot & Key,serum,"tea tree oil, vitamin C, ceramides, retinol",sensitive,1737.29,4.4
Proactive next generation open architecture Moisturizer,Cetaphil,serum,"retinol, tea tree oil, shea butter",sensitive,1705.02,1.8
Enterprise-wide composite attitude Sunscreen,Dove,face mask,"aloe vera, charcoal, tea tree oil, rose water",combination,1728.24,1.1
Enhanced dynamic infrastructure Serum,Dot & Key,eye cream,"green tea, charcoal, tea tree oil, glycolic acid",normal,1487.12,3.9
Multi-channeled holistic portal Moisturizer,Aqualogica,toner,"retinol, charcoal, tea tree oil, shea butter",normal,342.28,1.1
Adaptive didactic artificial intelligence Face mask,Olay,cleanser,"charcoal, glycolic acid, salicylic acid",combination,485.53,4.1
Ergonomic encompassing ability Face wash,The Ordinary,cleanser,"zinc, shea butter, salicylic acid, ceramides",sensitive,1453.36,1.6
Digitized dynamic interface Moisturizer,The Derma Co,cleanser,"rose water, hyaluronic acid, aloe vera, kojic acid, vitamin C",combination,1035.74,2.3
Right-sized object-oriented flexibility Eye cream,L'Oreal Paris,cleanser,"glycolic acid, niacinamide, hyaluronic acid, shea butter",oily,1199.25,1
Triple-buffered local flexibility Toner,The Ordinary,face wash,"hyaluronic acid, ceramides, vitamin C",oily,545.86,2.4
Robust well-modulated Local Area Network Moisturizer,Neutrogena,moisturizer,"salicylic acid, kojic acid, rose water, hyaluronic acid, tea tree oil",normal,623.79,4
Advanced client-driven core Face wash,Plum,serum,"salicylic acid, green tea, hyaluronic acid, kojic acid",normal,1171.17,1
Synergistic grid-enabled open system Moisturizer,Aqualogica,moisturizer,"turmeric, vitamin C, salicylic acid, ceramides, kojic acid",combination,649.74,4.4
Distributed didactic capacity Serum,Dove,sunscreen,"tea tree oil, charcoal, turmeric, retinol",sensitive,1196.83,1.1
Quality-focused bottom-line encryption Serum,Olay,sunscreen,"shea butter, aloe vera, green tea, ceramides, charcoal",normal,656.06,1.8
Reverse-engineered cohesive projection Face wash,Forest Essentials,toner,"hyaluronic acid, green tea, charcoal, salicylic acid, vitamin C",oily,235.75,3.4
Synergized human-resource strategy Serum,Olay,eye cream,"vitamin C, rose water, niacinamide, glycolic acid",combination,215.63,2.2
User-centric motivating hub Toner,Plum,cleanser,"aloe vera, turmeric, zinc",dry,1165.03,1.9
Integrated multi-state solution Toner,Aqualogica,cleanser,"retinol, charcoal, glycolic acid",combination,699.73,3.2
Multi-tiered object-oriented leverage Eye cream,Dove,serum,"kojic acid, glycolic acid, charcoal, hyaluronic acid",normal,1069.34,4.6
Persevering zero tolerance interface Face mask,The Derma Co,moisturizer,"zinc, rose water, aloe vera",oily,168.4,1.5
Public-key user-facing customer loyalty Eye cream,Cetaphil,face mask,"vitamin C, kojic acid, charcoal, glycolic acid",combination,870.74,2.4
Open-architected 24/7 Graphic Interface Face wash,Plum,eye cream,"salicylic acid, retinol, charcoal, shea butter",sensitive,153.4,3.9
Triple-buffered regional application Moisturizer,Cetaphil,face mask,"aloe vera, turmeric, hyaluronic acid",dry,809.64,4.5
Function-based multi-state implementation Serum,Dove,eye cream,"retinol, rose water, green tea, niacinamide",oily,620.71,3.1
De-engineered actuating functionalities Face mask,Pond's,face wash,"tea tree oil, vitamin C, kojic acid",oily,1845.08,3.8
Visionary secondary firmware Face wash,Himalaya,sunscreen,"rose water, vitamin C, retinol, zinc",normal,1310.24,2.3
Fundamental attitude-oriented focus group Toner,L'Oreal Paris,toner,"aloe vera, green tea, turmeric, zinc",dry,836.76,2.9
Ameliorated multi-tasking definition Cleanser,Pond's,serum,"glycolic acid, retinol, ceramides",dry,1285.05,1.4
Phased upward-trending standardization Face wash,The Ordinary,serum,"niacinamide, retinol, hyaluronic acid, aloe vera, vitamin C",sensitive,1363.75,1.1
Reverse-engineered fresh-thinking artificial intelligence Serum,The Ordinary,cleanser,"rose water, aloe vera, tea tree oil, hyaluronic acid, niacinamide",sensitive,966.05,4.9
Streamlined actuating functionalities Serum,Olay,face wash,"shea butter, hyaluronic acid, ceramides",dry,1884.1,3
Centralized mobile solution Face wash,Pond's,sunscreen,"retinol, turmeric, vitamin C, ceramides",combination,261.6,1.9
Operative hybrid projection Sunscreen,The Ordinary,face wash,"vitamin C, shea butter, aloe vera, rose water",normal,307.55,2.5
Organized bifurcated budgetary management Toner,Plum,toner,"vitamin C, kojic acid, hyaluronic acid, zinc, retinol",oily,1274.93,3.6
Ergonomic optimizing interface Moisturizer,Himalaya,moisturizer,"vitamin C, shea butter, ceramides",dry,802.54,4.1
Innovative 5thgeneration methodology Serum,Lakme,toner,"shea butter, green tea, salicylic acid, aloe vera",combination,151.32,3.7
Mandatory demand-driven artificial intelligence Serum,Nivea,face mask,"kojic acid, hyaluronic acid, retinol",combination,863.76,1.2
Up-sized tertiary collaboration Toner,Neutrogena,face mask,"salicylic acid, kojic acid, turmeric, zinc, charcoal",dry,1444.07,3.8
Reactive encompassing methodology Toner,Biotique,moisturizer,"tea tree oil, hyaluronic acid, rose water",combination,1319.91,4.6
Implemented grid-enabled support Cleanser,Plum,moisturizer,"glycolic acid, shea butter, charcoal, niacinamide, hyaluronic acid",combination,1561.95,2.2
Multi-channeled asymmetric benchmark Eye cream,Himalaya,sunscreen,"hyaluronic acid, aloe vera, shea butter, charcoal, niacinamide",combination,1794.01,1
Configurable non-volatile interface Face mask,Pond's,face mask,"aloe vera, niacinamide, zinc",normal,204.21,3.7
User-friendly well-modulated customer loyalty Moisturizer,Himalaya,face mask,"niacinamide, retinol, glycolic acid, hyaluronic acid",oily,788.65,3.7
Centralized 3rdgeneration synergy Eye cream,WOW Skin Science,cleanser,"zinc, green tea, ceramides",combination,277.26,1.2
Compatible heuristic architecture Moisturizer,Forest Essentials,sunscreen,"rose water, aloe vera, zinc, turmeric, salicylic acid",oily,1119.07,2.9
Synergistic needs-based capability Face wash,Lakme,serum,"niacinamide, shea butter, green tea, hyaluronic acid, kojic acid",combination,740.57,1.5
Profit-focused context-sensitive customer loyalty Serum,Minimalist,eye cream,"rose water, green tea, vitamin C, ceramides, tea tree oil",sensitive,1072.83,3.7
Adaptive 24/7 product Toner,Neutrogena,sunscreen,"ceramides, salicylic acid, retinol",normal,931.01,4
Integrated system-worthy algorithm Toner,Minimalist,face mask,"retinol, glycolic acid, niacinamide, rose water, kojic acid",oily,707.75,2.3
Self-enabling incremental website Serum,Himalaya,toner,"tea tree oil, retinol, shea butter, glycolic acid",dry,1959.69,2.7
Multi-lateral contextually-based instruction set Serum,The Ordinary,cleanser,"hyaluronic acid, green tea, tea tree oil, glycolic acid, aloe vera",sensitive,645.88,4.6
Fundamental multimedia installation Cleanser,Cetaphil,sunscreen,"ceramides, niacinamide, aloe vera",normal,1387.57,4.3
Customizable user-facing model Sunscreen,Dot & Key,moisturizer,"turmeric, salicylic acid, hyaluronic acid, green tea",oily,1934.73,2.2
Enterprise-wide radical info-mediaries Eye cream,Mamaearth,toner,"rose water, turmeric, aloe vera, salicylic acid",normal,1118.94,2.7
Versatile composite collaboration Toner,Plum,face wash,"charcoal, green tea, kojic acid, tea tree oil",sensitive,1255.09,3.8
Configurable content-based infrastructure Toner,Dot & Key,serum,"aloe vera, ceramides, kojic acid",dry,1790.85,1.2
Monitored fresh-thinking function Moisturizer,Nivea,eye cream,"charcoal, retinol, salicylic acid, aloe vera",sensitive,1990.13,4.4
Universal fault-tolerant model Cleanser,Lakme,toner,"tea tree oil, niacinamide, vitamin C, zinc",oily,1942.1,3.8
Optimized neutral open architecture Moisturizer,Pond's,serum,"ceramides, charcoal, tea tree oil",sensitive,914.7,4.4
Universal interactive core Cleanser,Cetaphil,sunscreen,"zinc, glycolic acid, aloe vera, charcoal",normal,1311.43,1.5
Vision-oriented tertiary flexibility Sunscreen,Olay,face mask,"turmeric, niacinamide, glycolic acid, ceramides, shea butter",normal,1406.42,4.8
Sharable fresh-thinking success Sunscreen,Himalaya,toner,"rose water, kojic acid, retinol",sensitive,1950.35,1.3
Ameliorated asymmetric analyzer Eye cream,Mamaearth,serum,"charcoal, niacinamide, green tea, turmeric",oily,1264.46,1.2
Expanded human-resource algorithm Cleanser,Lakme,moisturizer,"glycolic acid, charcoal, tea tree oil, green tea",dry,171.4,1.3
Balanced mission-critical methodology Sunscreen,Plum,cleanser,"green tea, zinc, hyaluronic acid",normal,597.23,1.7
Programmable composite process improvement Toner,WOW Skin Science,sunscreen,"shea butter, tea tree oil, retinol, salicylic acid",combination,1336.13,1.3
Networked zero administration utilization Face wash,The Ordinary,eye cream,"charcoal, vitamin C, turmeric",dry,1217.65,3.6
Intuitive contextually-based matrices Eye cream,Biotique,eye cream,"rose water, hyaluronic acid, niacinamide, zinc",oily,1522.61,2.2
Persistent eco-centric focus group Toner,The Derma Co,cleanser,"shea butter, turmeric, green tea",combination,1417.4,3.7
Organic value-added workforce Moisturizer,Nivea,face wash,"rose water, retinol, tea tree oil, turmeric",dry,1991.85,5
Pre-emptive grid-enabled protocol Serum,Dove,eye cream,"turmeric, ceramides, green tea, zinc, retinol",normal,904.11,4.3
Implemented system-worthy extranet Moisturizer,Nivea,eye cream,"glycolic acid, tea tree oil, zinc, green tea",normal,523.14,2.1
Inverse upward-trending attitude Eye cream,Forest Essentials,toner,"salicylic acid, kojic acid, charcoal, green tea",dry,1904.12,4.5
Implemented bottom-line emulation Moisturizer,Himalaya,face wash,"zinc, vitamin C, rose water",sensitive,1337.82,4.5
Enhanced bi-directional software Eye cream,Plum,eye cream,"green tea, charcoal, salicylic acid, vitamin C",oily,1581.55,1.5
Synchronized web-enabled initiative Moisturizer,Biotique,moisturizer,"green tea, hyaluronic acid, turmeric, salicylic acid",dry,819.1,5
Fully-configurable background core Serum,Neutrogena,serum,"retinol, shea butter, tea tree oil, turmeric, kojic acid",oily,1572.63,3.7
Adaptive dynamic product Moisturizer,The Ordinary,face mask,"zinc, tea tree oil, rose water, charcoal, glycolic acid",sensitive,756.68,2.9
Proactive grid-enabled orchestration Toner,Dove,moisturizer,"aloe vera, salicylic acid, vitamin C",normal,1364.97,1.2
Universal grid-enabled algorithm Eye cream,Mamaearth,serum,"hyaluronic acid, aloe vera, zinc, vitamin C",dry,1146.96,1.8
Cross-platform motivating encoding Face wash,L'Oreal Paris,moisturizer,"kojic acid, charcoal, niacinamide, tea tree oil, shea butter",dry,1879,3.8
Centralized didactic success Sunscreen,Aqualogica,sunscreen,"zinc, ceramides, tea tree oil, aloe vera",sensitive,615.05,4.1
Adaptive tangible system engine Moisturizer,The Ordinary,face mask,"rose water, shea butter, turmeric, tea tree oil",normal,1513.69,3.5
Reactive radical adapter Toner,L'Oreal Paris,serum,"shea butter, hyaluronic acid, zinc",combination,599.56,1.4
Optional static conglomeration Eye cream,L'Oreal Paris,eye cream,"zinc, niacinamide, kojic acid, tea tree oil",oily,558.57,1.5
Customizable explicit matrices Face mask,Mamaearth,cleanser,"kojic acid, hyaluronic acid, salicylic acid",combination,764.51,3.3
Automated interactive firmware Moisturizer,Biotique,sunscreen,"charcoal, turmeric, tea tree oil",sensitive,589.12,4.8
Multi-lateral fresh-thinking system engine Face wash,Olay,face wash,"aloe vera, niacinamide, glycolic acid, kojic acid",dry,1822.36,4.4
Front-line radical knowledge user Cleanser,Mamaearth,serum,"glycolic acid, salicylic acid, zinc",sensitive,1844.68,4
Compatible fault-tolerant standardization Toner,The Derma Co,moisturizer,"glycolic acid, tea tree oil, zinc, hyaluronic acid",sensitive,1528.83,2.1
Optional maximized throughput Face wash,Neutrogena,face mask,"aloe vera, shea butter, ceramides, charcoal, salicylic acid",oily,207.08,2.5
Pre-emptive disintermediate knowledgebase Face wash,Olay,face wash,"niacinamide, charcoal, green tea",combination,1781.44,2.3
Secured user-facing task-force Moisturizer,The Derma Co,serum,"glycolic acid, retinol, ceramides, niacinamide",normal,403.29,2.3
Phased 5thgeneration functionalities Eye cream,Forest Essentials,eye cream,"tea tree oil, zinc, green tea",sensitive,751.99,4.4
Adaptive 4thgeneration matrix Eye cream,Olay,eye cream,"charcoal, hyaluronic acid, zinc, vitamin C, ceramides",oily,1569.79,4.6
Focused grid-enabled middleware Eye cream,Forest Essentials,moisturizer,"green tea, niacinamide, vitamin C, shea butter",sensitive,859.61,4
Fully-configurable methodical Graphic Interface Moisturizer,Minimalist,face wash,"salicylic acid, shea butter, tea tree oil, kojic acid, vitamin C",normal,1249.4,2.2
Progressive composite framework Moisturizer,The Derma Co,cleanser,"shea butter, vitamin C, salicylic acid",sensitive,1172.46,3.8
Proactive fault-tolerant groupware Face wash,Minimalist,face mask,"rose water, ceramides, hyaluronic acid, turmeric, kojic acid",combination,247.07,4.3
Object-based fresh-thinking circuit Eye cream,Dove,toner,"hyaluronic acid, shea butter, retinol, vitamin C",oily,1503.2,5
De-engineered value-added complexity Face mask,Pond's,toner,"aloe vera, kojic acid, charcoal",sensitive,1175.43,4.1
Multi-lateral logistical implementation Face mask,WOW Skin Science,face wash,"vitamin C, rose water, niacinamide",sensitive,483.65,3.5
Centralized 3rdgeneration hardware Cleanser,Olay,sunscreen,"ceramides, retinol, vitamin C, green tea, hyaluronic acid",normal,396.12,2.2
Upgradable actuating installation Moisturizer,Dove,serum,"retinol, zinc, rose water, turmeric",dry,573.36,1.5
,,,,,,
Optional system-worthy website Toner,L'Oreal Paris,moisturizer,"niacinamide, tea tree oil, hyaluronic acid",oily,1423.69,1.6
Profit-focused next generation process improvement Moisturizer,Himalaya,sunscreen,"aloe vera, green tea, glycolic acid",sensitive,1076.4,2.7
Business-focused full-range utilization Cleanser,Biotique,face mask,"glycolic acid, green tea, zinc, rose water",dry,123.54,4.2
Programmable bi-directional concept Face wash,Cetaphil,serum,"kojic acid, shea butter, vitamin C, rose water",normal,622.84,4.3
Open-architected non-volatile hardware Serum,Aqualogica,sunscreen,"hyaluronic acid, turmeric, green tea",normal,1169.63,1.9
Integrated 6thgeneration archive Moisturizer,Lakme,moisturizer,"charcoal, kojic acid, hyaluronic acid, green tea, retinol",normal,1298.58,1.5
Optimized asynchronous application Face mask,Nivea,moisturizer,"aloe vera, zinc, glycolic acid",normal,1768.05,1.2
Inverse modular moderator Moisturizer,Neutrogena,sunscreen,"zinc, glycolic acid, ceramides, turmeric",sensitive,1221.49,4.2
Vision-oriented zero tolerance synergy Face wash,Biotique,eye cream,"vitamin C, zinc, charcoal",sensitive,1391.88,4.7
Profit-focused radical paradigm Moisturizer,L'Oreal Paris,face wash,"turmeric, shea butter, niacinamide",normal,1538.66,4.3
Ergonomic 24/7 toolset Eye cream,The Ordinary,face mask,"kojic acid, zinc, ceramides, rose water",combination,902.13,1.3
Cross-group client-driven parallelism Sunscreen,Plum,eye cream,"hyaluronic acid, glycolic acid, kojic acid",dry,605.49,4.5
Quality-focused stable standardization Face mask,Mamaearth,serum,"charcoal, salicylic acid, glycolic acid, ceramides",oily,1162.67,4
User-centric object-oriented instruction set Eye cream,Cetaphil,serum,"niacinamide, hyaluronic acid, charcoal",combination,152.17,4.4
Persevering content-based moderator Serum,Dot & Key,cleanser,"salicylic acid, hyaluronic acid, shea butter, turmeric",sensitive,376.94,3.9
Visionary bifurcated methodology Serum,Biotique,moisturizer,"retinol, rose water, vitamin C, hyaluronic acid, charcoal",dry,1501.17,1.8
Diverse analyzing capability Toner,Minimalist,toner,"zinc, ceramides, tea tree oil",combination,758.37,2.4
Ameliorated grid-enabled synergy Moisturizer,Olay,cleanser,"aloe vera, glycolic acid, turmeric, rose water",normal,1747.86,2.6
Synergized empowering projection Serum,Dot & Key,face wash,"zinc, glycolic acid, hyaluronic acid, kojic acid",dry,903.67,2.8
Innovative asymmetric portal Toner,Forest Essentials,face wash,"retinol, niacinamide, vitamin C",oily,1720.3,2.6
De-engineered full-range Local Area Network Moisturizer,Minimalist,sunscreen,"rose water, aloe vera, green tea, zinc, niacinamide",oily,872.01,1.4
Cross-platform discrete concept Toner,Olay,serum,"green tea, retinol, vitamin C, tea tree oil",combination,778.99,3.1
Multi-layered directional array Serum,Dot & Key,serum,"kojic acid, charcoal, aloe vera",normal,137.46,3
Front-line 6thgeneration array Sunscreen,Forest Essentials,toner,"zinc, vitamin C, kojic acid, niacinamide, tea tree oil",dry,1507.95,4.9
Grass-roots exuding array Eye cream,Lakme,eye cream,"aloe vera, hyaluronic acid, shea butter, turmeric",dry,650.46,1.6
Distributed background knowledgebase Toner,Dove,face mask,"hyaluronic acid, ceramides, vitamin C, turmeric",sensitive,516.77,4.5
Organized foreground utilization Sunscreen,Himalaya,face mask,"green tea, tea tree oil, ceramides, aloe vera, charcoal",sensitive,1804.05,3.2
Multi-channeled tertiary productivity Face wash,WOW Skin Science,serum,"vitamin C, tea tree oil, shea butter",oily,423.71,3.9
Grass-roots next generation firmware Face wash,Biotique,face wash,"shea butter, ceramides, rose water, kojic acid, salicylic acid",normal,448.16,2.1
Total bifurcated neural-net Serum,L'Oreal Paris,serum,"kojic acid, niacinamide, retinol",sensitive,1757.12,3.3
Enhanced encompassing adapter Moisturizer,WOW Skin Science,face mask,"aloe vera, glycolic acid, vitamin C, turmeric, hyaluronic acid",dry,920.87,3.8
Polarized regional methodology Face mask,Aqualogica,serum,"ceramides, aloe vera, hyaluronic acid, salicylic acid",combination,178.1,2.2
Advanced zero-defect throughput Cleanser,Plum,sunscreen,"zinc, vitamin C, ceramides, green tea, shea butter",sensitive,203.95,4.4
Adaptive 24/7 moderator Toner,Nivea,cleanser,"aloe vera, kojic acid, hyaluronic acid, tea tree oil, ceramides",oily,1781.57,1.6
Compatible even-keeled throughput Eye cream,The Derma Co,toner,"salicylic acid, tea tree oil, green tea, retinol, aloe vera",dry,852.42,3.2
Networked next generation project Toner,Mamaearth,face wash,"aloe vera, retinol, charcoal",dry,1079.18,4.5
Horizontal mission-critical pricing structure Serum,Forest Essentials,sunscreen,"aloe vera, hyaluronic acid, tea tree oil, zinc, charcoal",combination,285.26,1.2
Cloned maximized structure Face wash,The Ordinary,serum,"shea butter, aloe vera, kojic acid, niacinamide",oily,1840.16,1.2
Focused grid-enabled definition Cleanser,Himalaya,face mask,"ceramides, glycolic acid, vitamin C, tea tree oil, turmeric",oily,1441.29,1
Realigned 5thgeneration groupware Sunscreen,Neutrogena,cleanser,"glycolic acid, retinol, ceramides, shea butter, zinc",sensitive,1682.4,3.4
Total mobile model Moisturizer,Dove,cleanser,"green tea, ceramides, aloe vera, vitamin C, charcoal",normal,1534.9,4.8
Multi-lateral high-level Local Area Network Face wash,Biotique,face mask,"vitamin C, kojic acid, zinc, charcoal, aloe vera",sensitive,1192.02,4.1
Organic full-range synergy Face wash,WOW Skin Science,eye cream,"ceramides, turmeric, retinol",combination,430.9,4.7
Seamless asynchronous monitoring Toner,WOW Skin Science,cleanser,"glycolic acid, zinc, retinol, turmeric, vitamin C",oily,632.05,2.2
Reactive interactive workforce Sunscreen,Nivea,face wash,"ceramides, tea tree oil, retinol, shea butter, green tea",combination,1397.18,3.3
De-engineered stable application Moisturizer,Dot & Key,face mask,"aloe vera, ceramides, hyaluronic acid",oily,632.02,1.3
Programmable stable archive Cleanser,Neutrogena,cleanser,"turmeric, vitamin C, kojic acid, zinc",dry,958.89,2.9
Centralized upward-trending array Sunscreen,Dot & Key,sunscreen,"glycolic acid, green tea, kojic acid",combination,472.6,4
Adaptive client-driven moderator Face wash,Cetaphil,serum,"retinol, hyaluronic acid, green tea",normal,1747.85,4
Switchable cohesive open system Face wash,Cetaphil,toner,"retinol, hyaluronic acid, niacinamide, shea butter",oily,524.36,2.1
Organized contextually-based standardization Toner,Forest Essentials,sunscreen,"vitamin C, ceramides, turmeric, retinol",combination,1748.91,4.5
Pre-emptive motivating database Face mask,Nivea,face wash,"aloe vera, glycolic acid, charcoal, ceramides, hyaluronic acid",oily,514.06,1
Cross-platform well-modulated standardization Toner,Himalaya,face wash,"rose water, zinc, vitamin C, charcoal, hyaluronic acid",normal,859.4,2.5
Open-architected clear-thinking extranet Face mask,The Derma Co,face mask,"hyaluronic acid, rose water, niacinamide, green tea, ceramides",dry,1365.54,4.2
Customizable foreground attitude Face wash,Mamaearth,face wash,"hyaluronic acid, tea tree oil, glycolic acid, charcoal, niacinamide",dry,1205.18,3.4
Operative multi-tasking capacity Face mask,Minimalist,moisturizer,"shea butter, glycolic acid, tea tree oil",oily,1917.75,4.4
